ID,DrugBank_ID,Name
71,DB00264,Metoprolol
72,DB00268,Ropinirole
73,DB00270,Isradipine
74,DB00271,Diatrizoate
75,DB00273,Topiramate
76,DB00275,Olmesartan
77,DB00276,Amsacrine
78,DB00277,Theophylline
79,DB00278,Argatroban
80,DB00279,Liothyronine
81,DB00280,Disopyramide
82,DB00281,Lidocaine
83,DB00282,Pamidronic acid
84,DB00283,Clemastine
85,DB00284,Acarbose
86,DB00285,Venlafaxine
87,DB00286,Conjugated estrogens
88,DB00287,Travoprost
89,DB00289,Atomoxetine
90,DB00290,Bleomycin
91,DB00295,Morphine
92,DB00297,Bupivacaine
93,DB00302,Tranexamic acid
94,DB00304,Desogestrel
95,DB00305,Mitomycin
96,DB00307,Bexarotene
97,DB00308,Ibutilide
98,DB00310,Chlorthalidone
99,DB00313,Valproic acid
100,DB00315,Zolmitriptan
101,DB00316,Acetaminophen
102,DB00318,Codeine
103,DB00320,Dihydroergotamine
104,DB00321,Amitriptyline
105,DB00323,Tolcapone
106,DB00324,Fluorometholone
107,DB00325,Nitroprusside
108,DB00327,Hydromorphone
109,DB00328,Indomethacin
110,DB00331,Metformin
111,DB00332,Ipratropium
112,DB00333,Methadone
113,DB00334,Olanzapine
114,DB00335,Atenolol
115,DB00337,Pimecrolimus
116,DB00338,Omeprazole
117,DB00341,Cetirizine
118,DB00342,Terfenadine
119,DB00343,Diltiazem
120,DB00346,Alfuzosin
121,DB00349,Clobazam
122,DB00350,Minoxidil
123,DB00351,Megestrol acetate
124,DB00352,Tioguanine
125,DB00353,Methylergometrine
126,DB00354,Buclizine
127,DB00356,Chlorzoxazone
128,DB00357,Aminoglutethimide
129,DB00361,Vinorelbine
130,DB00363,Clozapine
131,DB00364,Sucralfate
132,DB00366,Doxylamine
133,DB00367,Levonorgestrel
134,DB00368,Norepinephrine
135,DB00371,Meprobamate
136,DB00373,Timolol
137,DB00374,Treprostinil
138,DB00376,Trihexyphenidyl
139,DB00379,Mexiletine
140,DB00380,Dexrazoxane
141,DB00381,Amlodipine
142,DB00382,Tacrine
143,DB00384,Triamterene
144,DB00385,Valrubicin
145,DB00387,Procyclidine
146,DB00388,Phenylephrine
147,DB00390,Digoxin
148,DB00392,Profenamine
149,DB00393,Nimodipine
150,DB00394,Beclomethasone dipropionate
151,DB00396,Progesterone
152,DB00397,Phenylpropanolamine
153,DB00398,Sorafenib
154,DB00399,Zoledronic acid
155,DB00401,Nisoldipine
156,DB00404,Alprazolam
157,DB00405,Dexbrompheniramine
158,DB00407,Ardeparin
159,DB00408,Loxapine
160,DB00412,Rosiglitazone
161,DB00413,Pramipexole
162,DB00414,Acetohexamide
163,DB00419,Miglustat
164,DB00421,Spironolactone
165,DB00422,Methylphenidate
166,DB00424,Hyoscyamine
167,DB00427,Triprolidine
168,DB00428,Streptozocin
169,DB00433,Prochlorperazine
170,DB00434,Cyproheptadine
171,DB00436,Bendroflumethiazide
172,DB00437,Allopurinol
173,DB00440,Trimethoprim
174,DB00441,Gemcitabine
175,DB00443,Betamethasone
176,DB00444,Teniposide
177,DB00445,Epirubicin
178,DB00448,Lansoprazole
179,DB00449,Dipivefrin
180,DB00451,Levothyroxine
181,DB00454,Meperidine
182,DB00455,Loratadine
183,DB00457,Prazosin
184,DB00458,Imipramine
185,DB00460,Verteporfin
186,DB00461,Nabumetone
187,DB00464,Sodium tetradecyl sulfate
188,DB00465,Ketorolac
189,DB00468,Quinine
190,DB00469,Tenoxicam
191,DB00470,Dronabinol
192,DB00471,Montelukast
193,DB00472,Fluoxetine
194,DB00475,Chlordiazepoxide
195,DB00476,Duloxetine
196,DB00477,Chlorpromazine
197,DB00480,Lenalidomide
198,DB00481,Raloxifene
199,DB00482,Celecoxib
200,DB00484,Brimonidine
201,DB00489,Sotalol
202,DB00490,Buspirone
203,DB00491,Miglitol
204,DB00492,Fosinopril
205,DB00494,Entacapone
206,DB00497,Oxycodone
207,DB00499,Flutamide
208,DB00500,Tolmetin
209,DB00501,Cimetidine
210,DB00502,Haloperidol
211,DB00508,Triflupromazine
212,DB00514,Dextromethorphan
213,DB00515,Cisplatin
214,DB00519,Trandolapril
215,DB00521,Carteolol
216,DB00523,Alitretinoin
217,DB00524,Metolazone
218,DB00527,Cinchocaine
219,DB00528,Lercanidipine
220,DB00530,Erlotinib
221,DB00531,Cyclophosphamide
222,DB00532,Mephenytoin
223,DB00535,Cefdinir
224,DB00536,Guanidine
225,DB00537,Ciprofloxacin
226,DB00540,Nortriptyline
227,DB00541,Vincristine
228,DB00542,Benazepril
229,DB00544,Fluorouracil
230,DB00545,Pyridostigmine
231,DB00547,Desoximetasone
232,DB00548,Azelaic acid
233,DB00549,Zafirlukast
234,DB00550,Propylthiouracil
235,DB00552,Pentostatin
236,DB00553,Methoxsalen
237,DB00554,Piroxicam
238,DB00555,Lamotrigine
239,DB00557,Hydroxyzine
240,DB00559,Bosentan
241,DB00563,Methotrexate
242,DB00564,Carbamazepine
243,DB00569,Fondaparinux
244,DB00570,Vinblastine
245,DB00571,Propranolol
246,DB00572,Atropine
247,DB00573,Fenoprofen
248,DB00575,Clonidine
249,DB00583,Levocarnitine
250,DB00584,Enalapril
251,DB00585,Nizatidine
252,DB00586,Diclofenac
253,DB00588,Fluticasone propionate
254,DB00589,Lisuride
255,DB00590,Doxazosin
256,DB00591,Fluocinolone acetonide
257,DB00593,Ethosuximide
258,DB00594,Amiloride
259,DB00596,Ulobetasol
260,DB00598,Labetalol
261,DB00603,Medroxyprogesterone acetate
262,DB00604,Cisapride
263,DB00605,Sulindac
264,DB00608,Chloroquine
265,DB00611,Butorphanol
266,DB00612,Bisoprolol
267,DB00619,Imatinib
268,DB00620,Triamcinolone
269,DB00622,Nicardipine
270,DB00623,Fluphenazine
271,DB00624,Testosterone
272,DB00627,Niacin
273,DB00630,Alendronic acid
274,DB00631,Clofarabine
275,DB00635,Prednisone
276,DB00636,Clofibrate
277,DB00637,Astemizole
278,DB00638,Inulin
279,DB00640,Adenosine
280,DB00641,Simvastatin
281,DB00642,Pemetrexed
282,DB00644,Gonadorelin
283,DB00647,Dextropropoxyphene
284,DB00650,Leucovorin
285,DB00651,Dyphylline
286,DB00652,Pentazocine
287,DB00653,Magnesium sulfate
288,DB00654,Latanoprost
289,DB00655,Estrone
290,DB00657,Mecamylamine
291,DB00659,Acamprosate
292,DB00661,Verapamil
293,DB00663,Flumethasone
294,DB00668,Epinephrine
295,DB00669,Sumatriptan
296,DB00672,Chlorpropamide
297,DB00674,Galantamine
298,DB00675,Tamoxifen
299,DB00678,Losartan
300,DB00679,Thioridazine
301,DB00682,Warfarin
302,DB00686,Pentosan polysulfate
303,DB00687,Fludrocortisone
304,DB00691,Moexipril
305,DB00692,Phentolamine
306,DB00694,Daunorubicin
307,DB00695,Furosemide
308,DB00696,Ergotamine
309,DB00697,Tizanidine
310,DB00699,Nicergoline
311,DB00704,Naltrexone
312,DB00706,Tamsulosin
313,DB00710,Ibandronate
314,DB00712,Flurbiprofen
315,DB00714,Apomorphine
316,DB00715,Paroxetine
317,DB00716,Nedocromil
318,DB00717,Norethisterone
319,DB00719,Azatadine
320,DB00721,Procaine
321,DB00722,Lisinopril
322,DB00724,Imiquimod
323,DB00727,Nitroglycerin
324,DB00731,Nateglinide
325,DB00733,Pralidoxime
326,DB00734,Risperidone
327,DB00736,Esomeprazole
328,DB00741,Hydrocortisone
329,DB00744,Zileuton
330,DB00745,Modafinil
331,DB00747,Scopolamine
332,DB00748,Carbinoxamine
333,DB00749,Etodolac
334,DB00750,Prilocaine
335,DB00751,Epinastine
336,DB00754,Ethotoin
337,DB00755,Tretinoin
338,DB00757,Dolasetron
339,DB00758,Clopidogrel
340,DB00759,Tetracycline
341,DB00762,Irinotecan
342,DB00763,Methimazole
343,DB00764,Mometasone
344,DB00765,Metyrosine
345,DB00767,Benzquinamide
346,DB00768,Olopatadine
347,DB00770,Alprostadil
348,DB00771,Clidinium
349,DB00773,Etoposide
350,DB00775,Tirofiban
351,DB00776,Oxcarbazepine
352,DB00780,Phenelzine
353,DB00783,Estradiol
354,DB00784,Mefenamic acid
355,DB00787,Acyclovir
356,DB00788,Naproxen
357,DB00790,Perindopril
358,DB00794,Primidone
359,DB00795,Sulfasalazine
360,DB00796,Candesartan cilexetil
361,DB00800,Fenoldopam
362,DB00804,Dicyclomine
363,DB00806,Pentoxifylline
364,DB00808,Indapamide
365,DB00810,Biperiden
366,DB00813,Fentanyl
367,DB00814,Meloxicam
368,DB00816,Orciprenaline
369,DB00819,Acetazolamide
370,DB00820,Tadalafil
371,DB00822,Disulfiram
372,DB00829,Diazepam
373,DB00831,Trifluoperazine
374,DB00834,Mifepristone
375,DB00835,Brompheniramine
376,DB00839,Tolazamide
377,DB00843,Donepezil
378,DB00844,Nalbuphine
379,DB00846,Flurandrenolide
380,DB00847,Cysteamine
381,DB00848,Levamisole
382,DB00851,Dacarbazine
383,DB00852,Pseudoephedrine
384,DB00853,Temozolomide
385,DB00856,Chlorphenesin
386,DB00859,Penicillamine
387,DB00860,Prednisolone
388,DB00861,Diflunisal
389,DB00863,Ranitidine
390,DB00864,Tacrolimus
391,DB00865,Benzphetamine
392,DB00868,Benzonatate
393,DB00869,Dorzolamide
394,DB00871,Terbutaline
395,DB00873,Loteprednol
396,DB00876,Eprosartan
397,DB00880,Chlorothiazide
398,DB00881,Quinapril
399,DB00882,Clomifene
400,DB00883,Isosorbide dinitrate
401,DB00884,Risedronic acid
402,DB00887,Bumetanide
403,DB00888,Mechlorethamine
404,DB00889,Granisetron
405,DB00898,Ethanol
406,DB00899,Remifentanil
407,DB00903,Etacrynic acid
408,DB00904,Ondansetron
409,DB00905,Bimatoprost
410,DB00906,Tiagabine
411,DB00907,Cocaine
412,DB00908,Quinidine
413,DB00909,Zonisamide
414,DB00912,Repaglinide
415,DB00915,Amantadine
416,DB00917,Dinoprostone
417,DB00918,Almotriptan
418,DB00920,Ketotifen
419,DB00921,Buprenorphine
420,DB00924,Cyclobenzaprine
421,DB00925,Phenoxybenzamine
422,DB00927,Famotidine
423,DB00928,Azacitidine
424,DB00929,Misoprostol
425,DB00933,Mesoridazine
426,DB00936,Salicylic acid
427,DB00937,Diethylpropion
428,DB00938,Salmeterol
429,DB00939,Meclofenamic acid
430,DB00945,Acetylsalicylic acid
431,DB00947,Fulvestrant
432,DB00949,Felbamate
433,DB00950,Fexofenadine
434,DB00952,Naratriptan
435,DB00953,Rizatriptan
436,DB00956,Hydrocodone
437,DB00957,Norgestimate
438,DB00958,Carboplatin
439,DB00959,Methylprednisolone
440,DB00960,Pindolol
441,DB00963,Bromfenac
442,DB00966,Telmisartan
443,DB00967,Desloratadine
444,DB00968,Methyldopa
445,DB00969,Alosetron
446,DB00972,Azelastine
447,DB00973,Ezetimibe
448,DB00975,Dipyridamole
449,DB00977,Ethinylestradiol
450,DB00982,Isotretinoin
451,DB00983,Formoterol
452,DB00984,Nandrolone phenpropionate
453,DB00987,Cytarabine
454,DB00988,Dopamine
455,DB00989,Rivastigmine
456,DB00990,Exemestane
457,DB00991,Oxaprozin
458,DB00992,Methyl aminolevulinate
459,DB00993,Azathioprine
460,DB00995,Auranofin
461,DB00996,Gabapentin
462,DB00997,Doxorubicin
463,DB00998,Frovatriptan
464,DB00999,Hydrochlorothiazide
465,DB01001,Albuterol
466,DB01002,Levobupivacaine
467,DB01003,Cromoglicic acid
468,DB01005,Hydroxyurea
469,DB01006,Letrozole
470,DB01008,Busulfan
471,DB01009,Ketoprofen
472,DB01012,Cinacalcet
473,DB01013,Clobetasol propionate
474,DB01014,Balsalazide
475,DB01016,Glyburide
476,DB01017,Minocycline
477,DB01018,Guanfacine
478,DB01019,Bethanechol
479,DB01020,Isosorbide mononitrate
480,DB01023,Felodipine
481,DB01026,Ketoconazole
482,DB01029,Irbesartan
483,DB01030,Topotecan
484,DB01033,Mercaptopurine
485,DB01035,Procainamide
486,DB01037,Selegiline
487,DB01039,Fenofibrate
488,DB01041,Thalidomide
489,DB01042,Melphalan
490,DB01043,Memantine
491,DB01045,Rifampin
492,DB01046,Lubiprostone
493,DB01050,Ibuprofen
494,DB01058,Praziquantel
495,DB01062,Oxybutynin
496,DB01063,Acetophenazine
497,DB01064,Isoprenaline
498,DB01065,Melatonin
499,DB01067,Glipizide
500,DB01068,Clonazepam
501,DB01069,Promethazine
502,DB01070,Dihydrotachysterol
503,DB01071,Mequitazine
504,DB01072,Atazanavir
505,DB01073,Fludarabine
506,DB01075,Diphenhydramine
507,DB01076,Atorvastatin
508,DB01077,Etidronic acid
509,DB01080,Vigabatrin
510,DB01083,Orlistat
511,DB01084,Emedastine
512,DB01085,Pilocarpine
513,DB01086,Benzocaine
514,DB01088,Iloprost
515,DB01095,Fluvastatin
516,DB01098,Rosuvastatin
517,DB01099,Flucytosine
518,DB01101,Capecitabine
519,DB01104,Sertraline
520,DB01105,Sibutramine
521,DB01106,Levocabastine
522,DB01110,Miconazole
523,DB01113,Papaverine
524,DB01114,Chlorpheniramine
525,DB01115,Nifedipine
526,DB01118,Amiodarone
527,DB01120,Gliclazide
528,DB01122,Ambenonium
529,DB01124,Tolbutamide
530,DB01125,Anisindione
531,DB01128,Bicalutamide
532,DB01129,Rabeprazole
533,DB01132,Pioglitazone
534,DB01133,Tiludronic acid
535,DB01136,Carvedilol
536,DB01137,Levofloxacin
537,DB01142,Doxepin
538,DB01143,Amifostine
539,DB01144,Diclofenamide
540,DB01146,Diphenylpyraline
541,DB01148,Flavoxate
542,DB01151,Desipramine
543,DB01156,Bupropion
544,DB01157,Trimetrexate
545,DB01161,Chloroprocaine
546,DB01162,Terazosin
547,DB01165,Ofloxacin
548,DB01167,Itraconazole
549,DB01169,Arsenic trioxide
550,DB01170,Guanethidine
551,DB01173,Orphenadrine
552,DB01174,Phenobarbital
553,DB01175,Escitalopram
554,DB01176,Cyclizine
555,DB01177,Idarubicin
556,DB01181,Ifosfamide
557,DB01182,Propafenone
558,DB01185,Fluoxymesterone
559,DB01186,Pergolide
560,DB01188,Ciclopirox
561,DB01189,Desflurane
562,DB01192,Oxymorphone
563,DB01193,Acebutolol
564,DB01194,Brinzolamide
565,DB01195,Flecainide
566,DB01196,Estramustine
567,DB01197,Captopril
568,DB01200,Bromocriptine
569,DB01202,Levetiracetam
570,DB01203,Nadolol
571,DB01204,Mitoxantrone
572,DB01210,Levobunolol
573,DB01214,Metipranolol
574,DB01216,Finasteride
575,DB01217,Anastrozole
576,DB01219,Dantrolene
577,DB01221,Ketamine
578,DB01222,Budesonide
579,DB01223,Aminophylline
580,DB01224,Quetiapine
581,DB01225,Enoxaparin
582,DB01228,Encainide
583,DB01229,Paclitaxel
584,DB01231,Diphenidol
585,DB01232,Saquinavir
586,DB01233,Metoclopramide
587,DB01234,Dexamethasone
588,DB01235,Levodopa
589,DB01237,Bromodiphenhydramine
590,DB01238,Aripiprazole
591,DB01240,Epoprostenol
592,DB01241,Gemfibrozil
593,DB01242,Clomipramine
594,DB01244,Bepridil
595,DB01246,Alimemazine
596,DB01248,Docetaxel
597,DB01250,Olsalazine
598,DB01254,Dasatinib
599,DB01255,Lisdexamfetamine
600,DB01258,Unknown
601,DB01259,Lapatinib
602,DB01260,Desonide
603,DB01261,Sitagliptin
604,DB01262,Decitabine
605,DB01267,Paliperidone
606,DB01268,Sunitinib
607,DB01275,Hydralazine
608,DB01283,Lumiracoxib
609,DB01291,Pirbuterol
610,DB01296,Glucosamine
611,DB01320,Fosphenytoin
612,DB01327,Cefazolin
613,DB01351,Amobarbital
614,DB01356,Lithium cation
615,DB01359,Penbutolol
616,DB01364,Ephedrine
617,DB01367,Rasagiline
618,DB01390,Sodium bicarbonate
619,DB01394,Colchicine
620,DB01395,Drospirenone
621,DB01399,Salsalate
622,DB01400,Neostigmine
623,DB01403,Methotrimeprazine
624,DB01406,Danazol
625,DB01410,Ciclesonide
626,DB01427,Amrinone
627,DB01440,gamma-Hydroxybutyric acid
628,DB01551,Dihydrocodeine
629,DB01576,Dextroamphetamine
630,DB01577,Metamfetamine
631,DB01579,Phendimetrazine
632,DB01590,Everolimus
633,DB01611,Hydroxychloroquine
634,DB01620,Pheniramine
635,DB01623,Thiothixene
636,DB01628,Etoricoxib
637,DB02546,Vorinostat
638,DB04571,Trioxsalen
639,DB04844,Tetrabenazine
640,DB04861,Nebivolol
641,DB04865,Omacetaxine mepesuccinate
642,DB04868,Nilotinib
643,DB05271,Rotigotine
644,DB06196,Icatibant
645,DB06201,Rufinamide
646,DB06268,Sitaxentan
647,DB06287,Temsirolimus
648,DB06718,Stanozolol
649,DB06803,Niclosamide
650,DB08799,Antazoline
651,DB08800,Chloropyramine
652,DB08801,Dimetindene
653,DB08802,Isothipendyl
654,DB08803,Tymazoline
655,DB08804,Nandrolone decanoate
656,DB08820,Ivacaftor
657,DB08824,Ioflupane I-123
658,DB08835,Spaglumic acid
659,DB08896,Regorafenib
660,DB08901,Ponatinib
661,DB08906,Fluticasone furoate
662,DB08907,Canagliflozin
